what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.install",1300811506332
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300811506374
started,bundle,org.eclipse.help.base,3.5.0.v201006080911,"org.eclipse.help.base",1300811508744
started,bundle,org.eclipse.help.ui,3.5.0.v20100517,"org.eclipse.help.ui",1300811508752
started,bundle,org.eclipse.equinox.http.jetty,2.0.0.v20100503,"org.eclipse.equinox.http.jetty",1300811508826
started,bundle,org.eclipse.equinox.http.servlet,1.1.0.v20100503,"org.eclipse.equinox.http.servlet",1300811508925
started,bundle,org.eclipse.equinox.http.registry,1.1.0.v20100503,"org.eclipse.equinox.http.registry",1300811509014
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300811509256
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.help.helpContents",1300811509343
started,bundle,org.eclipse.equinox.jsp.jasper.registry,1.0.200.v20100503,"org.eclipse.equinox.jsp.jasper.registry",1300811509407
started,bundle,org.eclipse.equinox.jsp.jasper,1.0.200.v20100421,"org.eclipse.equinox.jsp.jasper",1300811509427
started,bundle,org.eclipse.help.webapp,3.5.0.v20100507,"org.eclipse.help.webapp",1300811510066
started,bundle,org.eclipse.ui.cheatsheets,3.4.0.v20100427,"org.eclipse.ui.cheatsheets",1300811515517
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300811547067
opened,view,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.internal.introview",1300811552818
activated,view,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.internal.introview",1300811552856
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.help.quickStartAction",1300811552880
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300811554935
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300811558503
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300811578735
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300811610799
started,bundle,org.eclipse.epp.mpc.ui,1.0.0.v20100611-0430,"org.eclipse.epp.mpc.ui",1300811618359
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300811619798
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300811622557
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300811629891
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300811632633
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1300811634171
closed,view,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.internal.introview",1300811634189
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300811635875
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300811640748
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300811646697
started,bundle,org.eclipse.team.svn.core,0.7.9.I20110207-1700,"org.eclipse.team.svn.core",1300811653801
started,bundle,org.eclipse.team.svn.ui,0.7.9.I20110207-1700,"org.eclipse.team.svn.ui",1300811653874
opened,view,org.eclipse.team.svn.ui,0.7.9.I20110207-1700,"org.eclipse.team.svn.ui.repository.RepositoriesView",1300811654050
opened,view,org.eclipse.team.svn.ui,0.7.9.I20110207-1700,"org.eclipse.team.svn.ui.repository.browser.RepositoryBrowser",1300811654106
activated,perspective,org.eclipse.team.svn.ui,0.7.9.I20110207-1700,"org.eclipse.team.svn.ui.repository.RepositoryPerspective",1300811654180
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.perspectives.showPerspective",1300811654212
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.perspectives.showPerspective",1300811654212
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300811654257
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300811654623
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20100503,"org.eclipse.equinox.p2.garbagecollector",1300811674350
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20100503,"org.eclipse.equinox.frameworkadmin",1300811675801
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20100503,"org.eclipse.equinox.simpleconfigurator.manipulator",1300811675821
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300811691992
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300811694259
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300811705054
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300811706414
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300811730642
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300811737023
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1300811741008
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1300811763128
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1300811772588
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1300811778728
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1300811781736
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1300811810088
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1300811814360
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1300811818247
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1300811833031
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1300811837368
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1300811842152
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1300811850999
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.200.v20100505,"org.eclipse.equinox.frameworkadmin.equinox",1300811858161
installed,bundle,org.polarion.eclipse.team.svn.connector,2.2.2.I20110124-1700,"org.polarion.eclipse.team.svn.connector",1300811867647
installed,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,2.2.2.I20110124-1700,"org.polarion.eclipse.team.svn.connector.svnkit16",1300811867651
resolved,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,2.2.2.I20110124-1700,"org.polarion.eclipse.team.svn.connector.svnkit16",1300811867655
resolved,bundle,org.polarion.eclipse.team.svn.connector,2.2.2.I20110124-1700,"org.polarion.eclipse.team.svn.connector",1300811867656
stopped,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,2.2.2.I20110124-1700,"org.polarion.eclipse.team.svn.connector.svnkit16",1300811867664
unresolved,bundle,org.polarion.eclipse.team.svn.connector,2.2.2.I20110124-1700,"org.polarion.eclipse.team.svn.connector",1300811867664
unresolved,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,2.2.2.I20110124-1700,"org.polarion.eclipse.team.svn.connector.svnkit16",1300811867664
resolved,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,2.2.2.I20110124-1700,"org.polarion.eclipse.team.svn.connector.svnkit16",1300811867711
resolved,bundle,org.polarion.eclipse.team.svn.connector,2.2.2.I20110124-1700,"org.polarion.eclipse.team.svn.connector",1300811867711
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300811868944
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300811870650
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.2.v20100608-0100-e3x,"org.eclipse.cdt.mylyn.ui",1300811871655
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300811871725
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201006141710,"org.eclipse.cdt.debug.mi.ui",1300811872262
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.0.201006141710,"org.eclipse.cdt.debug.mi.core",1300811872262
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201006141710,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1300811872263
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201006141710,"org.eclipse.cdt.debug.ui.memory.search",1300811872263
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201006141710,"org.eclipse.cdt.dsf.gdb.ui",1300811872264
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.0.201006141710,"org.eclipse.cdt.dsf.ui",1300811872264
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201006141710,"org.eclipse.cdt.gdb.ui",1300811872264
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201006141710,"org.eclipse.cdt.dsf.gdb",1300811872265
stopped,bundle,org.eclipse.cdt.launch,6.1.0.201006141710,"org.eclipse.cdt.launch",1300811872265
stopped,bundle,org.eclipse.cdt.debug.ui,7.0.0.201006141710,"org.eclipse.cdt.debug.ui",1300811872266
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.0.201006141710,"org.eclipse.cdt.debug.ui.memory.traditional",1300811872266
stopped,bundle,org.eclipse.cdt.dsf,2.1.0.201006141710,"org.eclipse.cdt.dsf",1300811872267
stopped,bundle,org.eclipse.cdt.debug.core,7.0.0.201006141710,"org.eclipse.cdt.debug.core",1300811872269
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201006141710,"org.eclipse.cdt.managedbuilder.ui",1300811872269
stopped,bundle,org.eclipse.cdt.make.ui,7.0.0.201006141710,"org.eclipse.cdt.make.ui",1300811872269
stopped,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201006141710,"org.eclipse.cdt.managedbuilder.gnu.ui",1300811872269
stopped,bundle,org.eclipse.cdt.managedbuilder.core,7.0.0.201006141710,"org.eclipse.cdt.managedbuilder.core",1300811872305
stopped,bundle,org.eclipse.cdt.make.core,7.0.0.201006141710,"org.eclipse.cdt.make.core",1300811872306
stopped,bundle,org.eclipse.cdt.mylyn.ui,1.1.2.v20100608-0100-e3x,"org.eclipse.cdt.mylyn.ui",1300811872308
stopped,bundle,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui",1300811872311
stopped,bundle,org.eclipse.cdt.core,5.2.0.201006141710,"org.eclipse.cdt.core",1300811872312
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1300811872313
stopped,bundle,com.aptana.portal.ui.eclipse35,3.0.0.1289263406,"com.aptana.portal.ui.eclipse35",1300811872313
stopped,bundle,com.aptana.portal.ui.eclipse36,3.0.0.1289018866,"com.aptana.portal.ui.eclipse36",1300811872314
stopped,bundle,com.aptana.portal.ui,3.0.0.1289249915,"com.aptana.portal.ui",1300811872314
stopped,bundle,org.radrails.rails.ui,3.0.0.1288971636,"org.radrails.rails.ui",1300811872315
stopped,bundle,com.aptana.explorer,3.0.0.1288738592,"com.aptana.explorer",1300811872315
stopped,bundle,com.aptana.deploy,3.0.0.1287697610,"com.aptana.deploy",1300811872316
stopped,bundle,com.aptana.syncing.ui,3.0.0.1288225285,"com.aptana.syncing.ui",1300811872316
stopped,bundle,com.aptana.editor.beaver,3.0.0.1287697610,"com.aptana.editor.beaver",1300811872316
stopped,bundle,com.aptana.editor.css.formatter,3.0.0.1289019119,"com.aptana.editor.css.formatter",1300811872317
stopped,bundle,com.aptana.editor.ruby.formatter.epl,3.0.0.1289019119,"com.aptana.editor.ruby.formatter.epl",1300811872317
stopped,bundle,com.aptana.ruby.debug.ui,3.0.0.201011100246,"com.aptana.ruby.debug.ui",1300811872317
stopped,bundle,com.aptana.editor.erb,3.0.0.1288197798,"com.aptana.editor.erb",1300811872317
stopped,bundle,com.aptana.editor.html.formatter,3.0.0.1289019119,"com.aptana.editor.html.formatter",1300811872317
stopped,bundle,com.aptana.editor.markdown,3.0.0.1288114353,"com.aptana.editor.markdown",1300811872317
stopped,bundle,com.aptana.editor.php,3.0.0.1288912037,"com.aptana.editor.php",1300811872318
stopped,bundle,org.python.pydev.django_templates,1.6.3.2010100422,"org.python.pydev.django_templates",1300811872318
stopped,bundle,com.aptana.editor.html,3.0.0.1289232022,"com.aptana.editor.html",1300811872318
